MERY.PA_prix;LI.PA_prix;COV.PA_prix;NK.PA_prix;BNP.PA_prix;ACA.PA_prix;CS.PA_prix;EN.PA_prix;DG.PA_prix;AI.PA_prix;SAN.PA_prix;ORA.PA_prix;ITP.PA_prix;RCO.PA_prix;ERA.PA_prix;BN.PA_prix;TTE.PA_prix;RUI.PA_prix;ABCA.PA_prix;ALTA.PA_prix;VCT.PA_prix;ICAD.PA_prix
26.780001;43.266087;114.46785;68.886589;90.5;26.78154;31.266487;64.489998;56.290001;47.820271;63;21.48;7.442765;51.389999;190.600006;55.578621;58;15.931612;7.64;196.636917;93.199997;143
26.9;43.591396;114.959129;69.421883;91.5;27.056997;32.243565;64.919998;56.900002;48.600761;62.650002;21.43;7.470927;53.25;194.009995;56.333508;58.860001;15.723096;7.52;196.636917;96.5;143
26.690001;42.615471;112.994019;69.338821;91.300003;27.003683;32.243565;64.419998;56.799999;47.933235;62.040001;21.360001;7.529262;53.709999;195.350006;55.3899;59.09;15.833211;7.4;201.552841;94.32;142.5
26.52;43.266087;112.502739;69.791054;91;27.056997;32.243565;63.73;56;48.585354;62.099998;21.32;6.766881;54;196.360001;54.72937;58.950001;15.931612;7.38;196.636917;94.349998;142.5
26.59;43.266087;111.814949;70.206367;91.099998;27.110312;32.243565;64.480003;56.139999;49.191261;61.650002;21.290001;6.929817;53.32;196;54.823734;59.27;15.99487;7.37;196.636917;93.699997;142
25.5;41.964851;107.698036;69.551094;89.599998;26.959253;32.243565;62.68;55.459999;48.220783;60.77;21.040001;6.923783;53.299999;207.479996;54.163204;59.099998;15.901155;7.39;197.620102;92.029999;141
24.860001;42.290161;105.546234;69.49572;88.599998;26.941483;32.243565;62.490002;55;48.56995;60.400002;21;6.955968;53.009998;200.110001;54.351929;58.709999;15.636409;7.48;196.636917;92.779999;141
24.700001;40.988926;103.266708;68.895821;88.800003;26.923712;31.266487;62.279999;54.77;48.13863;60.049999;20.6;6.978095;55.139999;199.699997;55.29554;58.5;15.542693;7.39;;92.25;141
25.110001;40.663616;103.374786;68.425133;87.699997;26.577168;31.266487;61.849998;53.990002;47.430027;59.959999;20.51;6.94591;55;202.550003;55.201176;58;15.486464;7.35;;91.800003;140.899994
24.57;40.338306;109.555069;68.360527;86.900002;26.461655;31.266487;60.720001;54.389999;47.732983;60.299999;20.5;6.949933;54.98;202.339996;55.201176;57.459999;15.521607;7.27;;90.25;139
25.59;40.988926;110.969948;68.406677;87;26.59494;31.266487;61.84;55.029999;48.559681;60.43;20.48;6.865448;55.139999;204.460007;55.484261;59.32;15.58018;7.32;;91.790001;138
25.559999;40.988926;106.617226;69.320366;88.400002;26.825968;31.266487;62.189999;55.48;50.033363;60.099998;20.4;6.90769;55.450001;197.199997;56.616592;60.259998;15.521607;7.29;;91.879997;137.5
25.280001;40.013;108.375999;69.071175;87.400002;26.452768;31.266487;62.119999;54.41;49.350437;60.25;20.200001;6.811136;55.740002;199.050003;57.560204;60.349998;15.563779;7.21;;91.919998;136.5
25.24;40.013;106.558273;69.071175;88.5;26.621597;31.266487;63.740002;54.220001;49.370979;60.459999;20.27;6.831251;55.610001;202.050003;58.22073;60.32;15.36932;7;;93.150002;136
25.110001;40.338306;107.00042;69.034256;88.199997;26.657141;32.243565;63.470001;54.869999;49.545559;61.169998;20.4;6.968037;56.310001;204.800003;58.31509;60.5;15.156118;7;;92.5;136
